case,variant,real_s,log
Co-term1,SMT,SAT,0.850,_outfiles/logs/Co-term1_SMT.log
Co-term1,AH,SAT,1.590,_outfiles/logs/Co-term1_AH.log
Deniability,SMT,SAT,0.780,_outfiles/logs/Deniability_SMT.log
Deniability,AH,TIMEOUT,10.000,_outfiles/logs/Deniability_AH.log
Buffer_ClassicOD,SMT,UNSAT,0.940,_outfiles/logs/Buffer_ClassicOD_SMT.log
Buffer_ClassicOD,AH,UNSAT,1.380,_outfiles/logs/Buffer_ClassicOD_AH.log
Buffer_IntransOD,SMT,SAT,0.740,_outfiles/logs/Buffer_IntransOD_SMT.log
Buffer_IntransOD,AH,SAT,1.250,_outfiles/logs/Buffer_IntransOD_AH.log
Buffer_Intrans_GMNI,SMT,SAT,0.610,_outfiles/logs/Buffer_Intrans_GMNI_SMT.log
Buffer_Intrans_GMNI,AH,TIMEOUT,10.000,_outfiles/logs/Buffer_Intrans_GMNI_AH.log
Buffer_ClassicOD,SMT,UNSAT,2.440,_outfiles/logs/Buffer_ClassicOD_SMT.log
Buffer_ClassicOD,AH,TIMEOUT,10.000,_outfiles/logs/Buffer_ClassicOD_AH.log
NIExp_TINI,SMT,SAT,2.010,_outfiles/logs/NIExp_TINI_SMT.log
NIExp_TINI,AH,SAT,2.600,_outfiles/logs/NIExp_TINI_AH.log
NIExp_TSNI,SMT,SAT,1.350,_outfiles/logs/NIExp_TSNI_SMT.log
NIExp_TSNI,AH,SAT,1.820,_outfiles/logs/NIExp_TSNI_AH.log
k_safety,SMT,SAT,0.920,_outfiles/logs/k_safety_SMT.log
k_safety,AH,SAT,1.320,_outfiles/logs/k_safety_AH.log
MapSynth1,SMT,SAT,0.630,_outfiles/logs/MapSynth1_SMT.log
MapSynth1,AH,SAT,0.690,_outfiles/logs/MapSynth1_AH.log
MapSynth2,SMT,SAT,9.820,_outfiles/logs/MapSynth2_SMT.log
MapSynth2,AH,TIMEOUT,10.000,_outfiles/logs/MapSynth2_AH.log
TeamLTL_v1,SMT,UNSAT,3.390,_outfiles/logs/TeamLTL_v1_SMT.log
TeamLTL_v1,AH,UNSAT,1.060,_outfiles/logs/TeamLTL_v1_AH.log
TeamLTL_v2,SMT,UNSAT,9.390,_outfiles/logs/TeamLTL_v2_SMT.log
TeamLTL_v2,AH,UNSAT,1.790,_outfiles/logs/TeamLTL_v2_AH.log
NDET_v1,SMT,UNSAT,0.790,_outfiles/logs/NDET_v1_SMT.log
NDET_v1,AH,UNSAT,0.520,_outfiles/logs/NDET_v1_AH.log
NDET_v2,SMT,UNSAT,0.470,_outfiles/logs/NDET_v2_SMT.log
NDET_v2,AH,TIMEOUT,10.000,_outfiles/logs/NDET_v2_AH.log
NDET_v3,SMT,UNSAT,1.000,_outfiles/logs/NDET_v3_SMT.log
NDET_v3,AH,TIMEOUT,10.000,_outfiles/logs/NDET_v3_AH.log
Bank_v1,SMT,UNSAT,2.320,_outfiles/logs/Bank_v1_SMT.log
Bank_v1,AH,TIMEOUT,10.000,_outfiles/logs/Bank_v1_AH.log
Bank_v2,SMT,UNSAT,0.960,_outfiles/logs/Bank_v2_SMT.log
Bank_v2,AH,UNSAT,1.400,_outfiles/logs/Bank_v2_AH.log
Bank_v3,SMT,UNSAT,0.550,_outfiles/logs/Bank_v3_SMT.log
Bank_v3,AH,UNSAT,1.040,_outfiles/logs/Bank_v3_AH.log
Constructor,SMT,UNSAT,0.730,_outfiles/logs/Constructor_SMT.log
Constructor,AH,UNSAT,0.840,_outfiles/logs/Constructor_AH.log
Bidding_v1,SMT,SAT,0.620,_outfiles/logs/Bidding_v1_SMT.log
Bidding_v1,AH,SAT,0.750,_outfiles/logs/Bidding_v1_AH.log
Bidding_v2,SMT,SAT,0.670,_outfiles/logs/Bidding_v2_SMT.log
Bidding_v2,AH,SAT,0.500,_outfiles/logs/Bidding_v2_AH.log
Bidding_v3,SMT,SAT,0.670,_outfiles/logs/Bidding_v3_SMT.log
Bidding_v3,AH,SAT,1.200,_outfiles/logs/Bidding_v3_AH.log
Bidding_unsafe,SMT,UNSAT,0.660,_outfiles/logs/Bidding_unsafe_SMT.log
Bidding_unsafe,AH,UNSAT,5.610,_outfiles/logs/Bidding_unsafe_AH.log
IQueue,SMT,UNSAT,5.280,_outfiles/logs/IQueue_SMT.log
IQueue,AH,TIMEOUT,10.000,_outfiles/logs/IQueue_AH.log
Keypad,SMT,SAT,1.040,_outfiles/logs/Keypad_SMT.log
Keypad,AH,TIMEOUT,10.000,_outfiles/logs/Keypad_AH.log
SimpleQueue,SMT,UNSAT,0.710,_outfiles/logs/SimpleQueue_SMT.log
SimpleQueue,AH,UNSAT,0.500,_outfiles/logs/SimpleQueue_AH.log
EMM_ABA,SMT,UNSAT,0.640,_outfiles/logs/EMM_ABA_SMT.log
EMM_ABA,AH,TIMEOUT,10.000,_outfiles/logs/EMM_ABA_AH.log
LazyList,SMT,UNSAT,1.090,_outfiles/logs/LazyList_SMT.log
LazyList,AH,TIMEOUT,10.000,_outfiles/logs/LazyList_AH.log
